model,prompt_id,ring,animal,vehicle,sample,has_svg,rendered,attempts,feat_animal,feat_vehicle,feat_facing,feat_elements,animal_rating__openai__gpt-5.6-luna,vehicle_rating__openai__gpt-5.6-luna,action_rating__openai__gpt-5.6-luna,animal_rating,vehicle_rating,action_rating,overall
anthropic/claude-sonnet-5,otter-boat,1,otter,boat,2,True,True,1,otter,boat,ambiguous,"['sun', 'cloud', 'water', 'oar']",4,4,5,4.0,4.0,5.0,4.333333333333333
anthropic/claude-sonnet-5,otter-plane,1,otter,plane,0,True,True,1,otter,airplane,ambiguous,"['cloud', 'scarf']",5,4,5,5.0,4.0,5.0,4.666666666666667
anthropic/claude-sonnet-5,otter-plane,1,otter,plane,1,True,True,1,otter,airplane,ambiguous,"['cloud', 'sky']",5,4,5,5.0,4.0,5.0,4.666666666666667
anthropic/claude-sonnet-5,otter-plane,1,otter,plane,2,True,True,1,otter,,left,"['water', 'stone']",5,1,1,5.0,1.0,1.0,2.3333333333333335
anthropic/claude-sonnet-5,otter-scooter,1,otter,scooter,0,True,True,1,otter,scooter,ambiguous,['ground'],2,5,3,2.0,5.0,3.0,3.3333333333333335
anthropic/claude-sonnet-5,otter-scooter,1,otter,scooter,1,True,True,1,beaver,scooter,right,['line'],4,5,4,4.0,5.0,4.0,4.333333333333333
anthropic/claude-sonnet-5,otter-scooter,1,otter,scooter,2,True,True,1,otter,scooter,right,['line'],5,5,5,5.0,5.0,5.0,5.0
anthropic/claude-sonnet-5,otter-skateboard,1,otter,skateboard,0,True,True,1,beaver,skateboard,ambiguous,"['ground', 'line']",3,5,5,3.0,5.0,5.0,4.333333333333333
anthropic/claude-sonnet-5,otter-skateboard,1,otter,skateboard,1,True,True,1,beaver,skateboard,ambiguous,"['sky', 'grass', 'motion line']",4,5,5,4.0,5.0,5.0,4.666666666666667
anthropic/claude-sonnet-5,otter-skateboard,1,otter,skateboard,2,True,True,1,otter,skateboard,ambiguous,"['ground', 'sky', 'motion line']",4,5,5,4.0,5.0,5.0,4.666666666666667
anthropic/claude-sonnet-5,otter-unicycle,1,otter,unicycle,0,True,True,1,otter,unicycle,ambiguous,"['line', 'dash']",4,2,3,4.0,2.0,3.0,3.0
anthropic/claude-sonnet-5,otter-unicycle,1,otter,unicycle,1,True,True,1,otter,unicycle,ambiguous,[],5,3,2,5.0,3.0,2.0,3.3333333333333335
anthropic/claude-sonnet-5,otter-unicycle,1,otter,unicycle,2,True,True,1,otter,unicycle,ambiguous,['line'],3,2,3,3.0,2.0,3.0,2.6666666666666665
anthropic/claude-sonnet-5,pelican-bicycle,0,pelican,bicycle,0,True,True,1,bird,bicycle,right,"['sky', 'grass']",4,3,3,4.0,3.0,3.0,3.3333333333333335
anthropic/claude-sonnet-5,pelican-bicycle,0,pelican,bicycle,1,True,True,1,bird,bicycle,right,['ground'],2,3,3,2.0,3.0,3.0,2.6666666666666665
anthropic/claude-sonnet-5,pelican-bicycle,0,pelican,bicycle,2,True,True,1,goose,bicycle,right,['ground'],4,3,3,4.0,3.0,3.0,3.3333333333333335
anthropic/claude-sonnet-5,pelican-boat,1,pelican,boat,0,True,True,1,goose,boat,right,"['water', 'wave', 'bubble']",3,5,4,3.0,5.0,4.0,4.0
anthropic/claude-sonnet-5,pelican-boat,1,pelican,boat,1,True,True,1,pelican,sailboat,left,"['sun', 'water', 'sky']",3,5,3,3.0,5.0,3.0,3.6666666666666665
anthropic/claude-sonnet-5,pelican-boat,1,pelican,boat,2,True,True,1,bird,boat,left,"['sun', 'water', 'sky']",4,5,4,4.0,5.0,4.0,4.333333333333333
anthropic/claude-sonnet-5,pelican-plane,1,pelican,plane,0,True,True,1,bird,airplane,left,"['cloud', 'sky']",3,5,5,3.0,5.0,5.0,4.333333333333333
anthropic/claude-sonnet-5,pelican-plane,1,pelican,plane,1,True,True,1,bird,airplane,right,['cloud'],3,5,5,3.0,5.0,5.0,4.333333333333333
anthropic/claude-sonnet-5,pelican-plane,1,pelican,plane,2,True,True,1,bird,airplane,left,"['cloud', 'sun']",5,5,5,5.0,5.0,5.0,5.0
anthropic/claude-sonnet-5,pelican-scooter,1,pelican,scooter,0,True,True,1,goose,scooter,right,['ground'],4,4,3,4.0,4.0,3.0,3.6666666666666665
anthropic/claude-sonnet-5,pelican-scooter,1,pelican,scooter,1,True,True,1,goose,scooter,right,['ground'],3,5,4,3.0,5.0,4.0,4.0
anthropic/claude-sonnet-5,pelican-scooter,1,pelican,scooter,2,True,True,1,goose,scooter,right,['ground'],4,5,4,4.0,5.0,4.0,4.333333333333333
anthropic/claude-sonnet-5,pelican-skateboard,1,pelican,skateboard,0,True,True,1,goose,skateboard,right,['ground'],4,5,5,4.0,5.0,5.0,4.666666666666667
anthropic/claude-sonnet-5,pelican-skateboard,1,pelican,skateboard,1,True,True,1,goose,skateboard,right,"['ground', 'dash']",2,5,4,2.0,5.0,4.0,3.6666666666666665
anthropic/claude-sonnet-5,pelican-skateboard,1,pelican,skateboard,2,True,True,1,goose,skateboard,left,"['sky', 'ground', 'line']",4,5,5,4.0,5.0,5.0,4.666666666666667
anthropic/claude-sonnet-5,pelican-unicycle,1,pelican,unicycle,0,True,True,1,stork,unicycle,left,['ground'],4,3,5,4.0,3.0,5.0,4.0
anthropic/claude-sonnet-5,pelican-unicycle,1,pelican,unicycle,1,True,True,1,stork,unicycle,right,['line'],3,5,5,3.0,5.0,5.0,4.333333333333333
anthropic/claude-sonnet-5,pelican-unicycle,1,pelican,unicycle,2,True,True,1,goose,unicycle,right,"['ground', 'line']",3,3,4,3.0,3.0,4.0,3.3333333333333335
anthropic/claude-sonnet-5,raccoon-bicycle,1,raccoon,bicycle,0,True,True,1,lemur,bicycle,ambiguous,"['ground', 'line']",5,3,3,5.0,3.0,3.0,3.6666666666666665
anthropic/claude-sonnet-5,raccoon-bicycle,1,raccoon,bicycle,1,True,True,1,lemur,bicycle,right,"['ground', 'line']",5,3,4,5.0,3.0,4.0,4.0
anthropic/claude-sonnet-5,raccoon-bicycle,1,raccoon,bicycle,2,True,True,1,lemur,bicycle,ambiguous,"['ground', 'motion line']",4,5,4,4.0,5.0,4.0,4.333333333333333
anthropic/claude-sonnet-5,raccoon-boat,1,raccoon,boat,0,True,True,1,lemur,boat,left,"['sun', 'water', 'sky', 'sail']",3,5,5,3.0,5.0,5.0,4.333333333333333
anthropic/claude-sonnet-5,raccoon-boat,1,raccoon,boat,1,True,True,1,raccoon,sailboat,ambiguous,"['cloud', 'sun', 'water']",4,5,5,4.0,5.0,5.0,4.666666666666667
anthropic/claude-sonnet-5,raccoon-boat,1,raccoon,boat,2,True,True,1,raccoon,boat,ambiguous,"['sun', 'water', 'sail']",4,5,5,4.0,5.0,5.0,4.666666666666667
anthropic/claude-sonnet-5,raccoon-plane,1,raccoon,plane,0,True,True,1,raccoon,ufo,ambiguous,"['cloud', 'sun']",5,2,5,5.0,2.0,5.0,4.0
anthropic/claude-sonnet-5,raccoon-plane,1,raccoon,plane,1,True,True,1,raccoon,airplane,ambiguous,"['cloud', 'sun']",4,5,2,4.0,5.0,2.0,3.6666666666666665
anthropic/claude-sonnet-5,raccoon-plane,1,raccoon,plane,2,True,True,1,raccoon,airplane,ambiguous,"['cloud', 'sky']",4,4,5,4.0,4.0,5.0,4.333333333333333
anthropic/claude-sonnet-5,raccoon-scooter,1,raccoon,scooter,0,True,True,1,raccoon,scooter,right,['ground'],4,5,5,4.0,5.0,5.0,4.666666666666667
anthropic/claude-sonnet-5,raccoon-scooter,1,raccoon,scooter,1,True,True,1,lemur,scooter,right,"['line', 'dash']",4,5,5,4.0,5.0,5.0,4.666666666666667
anthropic/claude-sonnet-5,raccoon-scooter,1,raccoon,scooter,2,True,True,1,raccoon,scooter,right,"['headband', 'ground']",3,5,3,3.0,5.0,3.0,3.6666666666666665
anthropic/claude-sonnet-5,raccoon-skateboard,1,raccoon,skateboard,0,True,True,1,raccoon,skateboard,left,"['line', 'dash']",4,5,5,4.0,5.0,5.0,4.666666666666667
anthropic/claude-sonnet-5,raccoon-skateboard,1,raccoon,skateboard,1,True,True,1,raccoon,skateboard,ambiguous,"['ground', 'motion line']",3,5,5,3.0,5.0,5.0,4.333333333333333
anthropic/claude-sonnet-5,raccoon-skateboard,1,raccoon,skateboard,2,True,True,1,raccoon,skateboard,ambiguous,"['ground', 'motion line']",3,5,5,3.0,5.0,5.0,4.333333333333333
anthropic/claude-sonnet-5,raccoon-unicycle,1,raccoon,unicycle,0,True,True,1,lemur,unicycle,ambiguous,[],5,5,5,5.0,5.0,5.0,5.0
anthropic/claude-sonnet-5,raccoon-unicycle,1,raccoon,unicycle,1,True,True,1,lemur,unicycle,ambiguous,['line'],5,5,4,5.0,5.0,4.0,4.666666666666667
anthropic/claude-sonnet-5,raccoon-unicycle,1,raccoon,unicycle,2,True,True,1,lemur,unicycle,ambiguous,['ground'],5,3,3,5.0,3.0,3.0,3.6666666666666665
anthropic/claude-sonnet-5,whale-bicycle,1,whale,bicycle,0,True,True,1,whale,bicycle,left,"['cloud', 'sun', 'ground', 'line']",4,3,3,4.0,3.0,3.0,3.3333333333333335
anthropic/claude-sonnet-5,whale-bicycle,1,whale,bicycle,1,True,True,1,whale,bicycle,left,"['sun', 'ground']",5,3,3,5.0,3.0,3.0,3.6666666666666665
anthropic/claude-sonnet-5,whale-bicycle,1,whale,bicycle,2,True,True,1,whale,bicycle,left,"['sun', 'sky', 'grass']",5,2,2,5.0,2.0,2.0,3.0
anthropic/claude-sonnet-5,whale-boat,1,whale,boat,0,True,True,1,whale,boat,left,"['cloud', 'sun', 'water']",3,5,5,3.0,5.0,5.0,4.333333333333333
anthropic/claude-sonnet-5,whale-boat,1,whale,boat,1,True,True,1,whale,boat,left,"['cloud', 'sun', 'water', 'bubble']",3,5,5,3.0,5.0,5.0,4.333333333333333
anthropic/claude-sonnet-5,whale-boat,1,whale,boat,2,True,True,1,whale,boat,left,"['cloud', 'sun', 'water']",4,5,5,4.0,5.0,5.0,4.666666666666667
anthropic/claude-sonnet-5,whale-plane,1,whale,plane,0,True,True,1,whale,,right,"['cloud', 'sun']",5,1,1,5.0,1.0,1.0,2.3333333333333335
anthropic/claude-sonnet-5,whale-plane,1,whale,plane,1,True,True,1,whale,,left,"['sun', 'cloud', 'water']",4,1,1,4.0,1.0,1.0,2.0
anthropic/claude-sonnet-5,whale-plane,1,whale,plane,2,True,True,1,whale,,right,"['cloud', 'sun', 'water', 'sky', 'bubble']",5,1,1,5.0,1.0,1.0,2.3333333333333335
anthropic/claude-sonnet-5,whale-scooter,1,whale,scooter,0,True,True,1,shark,scooter,right,"['sun', 'cloud', 'road']",5,5,3,5.0,5.0,3.0,4.333333333333333
anthropic/claude-sonnet-5,whale-scooter,1,whale,scooter,1,True,True,1,whale,scooter,left,"['ground', 'motion line']",5,5,3,5.0,5.0,3.0,4.333333333333333
anthropic/claude-sonnet-5,whale-scooter,1,whale,scooter,2,True,True,1,whale,scooter,left,"['sky', 'ground', 'motion line']",4,5,3,4.0,5.0,3.0,4.0
anthropic/claude-sonnet-5,whale-skateboard,1,whale,skateboard,0,True,True,1,whale,skateboard,left,"['cloud', 'sun', 'line']",5,5,4,5.0,5.0,4.0,4.666666666666667
anthropic/claude-sonnet-5,whale-skateboard,1,whale,skateboard,1,True,True,1,whale,skateboard,left,"['sky', 'grass', 'line']",5,5,5,5.0,5.0,5.0,5.0
anthropic/claude-sonnet-5,whale-skateboard,1,whale,skateboard,2,True,True,1,whale,skateboard,left,"['sun', 'ground', 'line']",5,5,4,5.0,5.0,4.0,4.666666666666667
anthropic/claude-sonnet-5,whale-unicycle,1,whale,unicycle,0,True,True,1,whale,unicycle,left,"['cloud', 'sun', 'line']",5,3,3,5.0,3.0,3.0,3.6666666666666665
anthropic/claude-sonnet-5,whale-unicycle,1,whale,unicycle,1,True,True,1,whale,unicycle,right,"['sun', 'ground']",4,4,4,4.0,4.0,4.0,4.0
anthropic/claude-sonnet-5,whale-unicycle,1,whale,unicycle,2,True,True,1,whale,unicycle,left,"['sun', 'ground', 'motion line']",5,3,5,5.0,3.0,5.0,4.333333333333333
deepseek/deepseek-v4-pro,antelope-bicycle,1,antelope,bicycle,0,True,True,1,reindeer,bicycle,right,"['sun', 'cloud', 'grass']",3,4,4,3.0,4.0,4.0,3.6666666666666665
deepseek/deepseek-v4-pro,antelope-bicycle,1,antelope,bicycle,1,True,True,1,rabbit,bicycle,right,"['helmet', 'cloud', 'ground']",5,4,3,5.0,4.0,3.0,4.0
deepseek/deepseek-v4-pro,antelope-bicycle,1,antelope,bicycle,2,True,True,1,antelope,bicycle,right,[],3,3,4,3.0,3.0,4.0,3.3333333333333335
deepseek/deepseek-v4-pro,antelope-boat,1,antelope,boat,0,True,True,1,gazelle,sailboat,right,"['sun', 'cloud', 'sea', 'chest', 'flag']",4,5,5,4.0,5.0,5.0,4.666666666666667
deepseek/deepseek-v4-pro,antelope-boat,1,antelope,boat,1,True,True,1,gazelle,sailboat,right,"['sun', 'cloud', 'bird', 'lantern', 'flag', 'water', 'sky']",3,5,4,3.0,5.0,4.0,4.0
deepseek/deepseek-v4-pro,antelope-boat,1,antelope,boat,2,True,True,1,goat,boat,right,"['sun', 'water']",3,5,5,3.0,5.0,5.0,4.333333333333333
deepseek/deepseek-v4-pro,antelope-plane,1,antelope,plane,0,True,True,1,ibex,airplane,right,"['sun', 'cloud', 'bird', 'scarf']",4,3,5,4.0,3.0,5.0,4.0
deepseek/deepseek-v4-pro,antelope-plane,1,antelope,plane,1,True,True,1,antelope,airplane,left,"['cloud', 'sky']",5,5,4,5.0,5.0,4.0,4.666666666666667
deepseek/deepseek-v4-pro,antelope-plane,1,antelope,plane,2,True,True,1,camel,airplane,right,"['cloud', 'sky']",4,5,3,4.0,5.0,3.0,4.0
deepseek/deepseek-v4-pro,antelope-scooter,1,antelope,scooter,0,True,True,1,gazelle,scooter,right,"['sky', 'grass']",4,5,3,4.0,5.0,3.0,4.0
